# n insertion_us merge_us
5 0.530 6.690
10 0.845 2.217
15 1.041 2.937
20 1.453 3.033
25 1.906 4.009
30 2.726 4.121
35 2.943 5.005
40 3.906 5.222
45 3.385 6.042
50 4.664 6.380
55 4.389 7.191
60 5.766 7.639
65 6.467 8.900
70 6.323 9.475
75 7.734 9.857
80 7.879 10.344
85 9.439 11.464
90 9.188 11.354
95 9.425 11.711
100 9.852 12.578
105 11.383 16.258
110 14.288 20.676
115 32.311 15.300
120 13.987 15.156
125 13.938 16.068
130 14.841 17.441
135 15.619 17.956
140 16.705 17.611
145 14.522 21.039
150 16.000 17.580
155 17.502 17.759
160 18.005 18.035
165 18.691 18.940
170 19.884 19.664
175 20.569 19.662
180 20.072 20.119
185 22.047 21.016
190 22.077 21.005
195 24.747 23.088
200 27.071 28.672
205 27.181 23.690
210 26.458 22.785
215 25.785 24.033
220 41.502 24.837
225 28.443 25.660
230 28.512 26.223
235 39.107 28.771
240 29.328 30.494
245 31.442 28.052
250 33.753 26.387
255 30.181 27.892
260 36.871 26.484
265 36.599 46.186
270 40.234 30.580
275 34.138 30.071
280 35.654 30.468
285 38.090 39.531
290 41.551 31.747
295 38.502 31.897
300 40.445 32.070
305 40.940 33.063
310 40.836 31.650
315 44.155 33.783
320 45.352 29.848
325 42.280 31.176
330 43.369 31.731
335 41.578 32.159
340 44.512 32.411
345 45.073 47.487
350 46.162 33.662
355 47.408 33.195
360 48.264 33.229
365 50.303 42.276
370 61.837 35.435
375 47.076 35.471
380 45.508 32.090
385 50.045 38.311
390 51.082 34.506
395 52.664 34.597
400 71.315 34.975
405 54.527 34.663
410 55.375 34.735
415 57.427 34.959
420 64.743 34.176
425 50.569 34.413
430 54.384 32.627
435 55.468 35.189
440 55.556 35.176
445 57.763 34.952
450 74.551 36.132
455 61.601 36.058
460 63.115 36.596
465 63.590 36.571
470 59.415 34.359
475 58.431 33.721
480 63.431 35.115
485 57.323 32.729
490 57.826 32.656
495 59.777 32.887
500 61.271 33.282
